title,Cl/Cd_Re50K_N9,Cl/Cd_Re50K_N5,Cl/Cd_Re100K_N9,Cl/Cd_Re100K_N5,Cl/Cd_Re200K_N9,Cl/Cd_Re200K_N5,Cl/Cd_Re500K_N9,Cl/Cd_Re500K_N5,Cl/Cd_Re1000K_N9,Cl/Cd_Re1000K_N5,max_thickness,max_camber
GOE 573 AIRFOIL (goe573-il),11.6,24.6,34.4,47.1,64.7,69.7,99.9,100,130.2,127.7,14.1%,6.5%
GOE 572 AIRFOIL (goe572-il),3.1,14.6,29.9,38.4,55.7,54.8,79.9,77.5,103.8,98.6,18.6%,8.3%
GOE 571 AIRFOIL (goe571-il),3.7,5.7,8.1,8.6,33.1,34,56.1,42.8,62.8,52.5,24.9%,9.8%
GOE 570 AIRFOIL (goe570-il),0.7,2.5,7.1,6.3,7.8,10.4,23.7,15.8,20.8,16.4,33.7%,9.7%
GOE 57 AIRFOIL (goe57-il),41.6,43.5,63.3,59.2,82.4,70.2,93,86.5,105.3,102.2,6.3%,5.1%
GOE 567 AIRFOIL (goe567-il),6.1,21.6,49.7,56,81,79.8,115.2,95.8,132.1,103.5,14.8%,5.3%
GOE 566 AIRFOIL (goe566-il),34.4,36.5,52.4,50.3,70,61.7,88.5,79.3,97.8,90,8.7%,2.6%
GOE 564 AIRFOIL (goe564-il),37.1,37.5,56,52.6,75.4,65.6,95.7,77.6,103.8,89.2,8.2%,2.7%
GOE 565 AIRFOIL (goe565-il),37.4,39.1,56.9,55,76.2,69,98.7,80.7,110.1,89.9,8.4%,2.8%
GOE 563 AIRFOIL (goe563-il),35.9,36.4,54.1,51,73.3,64.2,95.4,76.6,105.6,86.6,8.9%,2.2%
GOE 562 AIRFOIL (goe562-il),9.2,25.8,40.9,50,70.4,70.6,101.4,96.7,126.3,115.9,14.1%,6.3%
GOE 561 AIRFOIL (goe561-il),3.3,5.7,8.4,8.6,28.7,20.9,43.2,33,49.1,42,25%,10.2%
GOE 559 AIRFOIL (goe559-il),30.1,28.6,40.4,38.6,50.2,50,66.3,64.2,76.8,74.2,11.2%,3.4%
GOE 553 AIRFOIL (goe553-il),11.2,30.1,45.9,54.5,73,75,105.5,102.3,130.5,122.6,13.7%,4.7%
GOE 550 AIRFOIL (goe550-il),27.6,33.7,53.1,56.3,76.3,75.3,106.3,98.4,127.5,114.8,13%,4.3%
GOE 55 AIRFOIL (goe55-il),26.3,32.7,42.4,43.3,54.5,51.9,64.7,64.6,72.7,77.6,6.2%,2%
GOE 549 AIRFOIL (goe549-il),7.6,26.4,43,52.8,74.4,75.7,107.9,100.8,128.7,115.8,13.9%,4.7%
GOE 548 AIRFOIL (goe548-il),34.1,32.8,53.7,51.1,74.2,68.7,95,76.6,100.7,76.3,11.9%,2.3%
GOE 547 AIRFOIL (goe547-il),36.9,35.2,60.4,59.5,86.9,82.4,120.6,105.8,143.4,104.7,10.5%,4%
GOE 546 AIRFOIL (goe546-il),38.4,38.6,59.4,58.6,80.5,76.2,106.7,93.5,124.7,101.7,10.4%,3.6%
GOE 54 AIRFOIL (goe54-il),19.8,29.3,34.3,44.2,58.7,64.2,87.4,88.1,106.7,105.7,6.5%,3.5%
GOE 535 AIRFOIL (goe535-il),7.2,29.4,43.1,50.9,68.1,68.5,96.6,90.9,116.8,110.2,16.1%,5.8%
GOE 534 AIRFOIL (goe534-il),20,32.5,44,50.2,65.4,67.4,93.2,91,114.9,110.2,14.1%,5.2%
GOE 533 AIRFOIL (goe533-il),10.5,29.4,46.5,54.8,73.8,75.5,106.3,102.3,131.1,121.7,13.7%,4.7%
GOE 532 AIRFOIL (goe532-il),17.7,34.7,53.3,56,76.6,73.5,101.7,89.7,115.7,102.7,12.5%,4.8%
GOE 530 AIRFOIL (goe530-il),14,32.1,49.8,50.3,69,66.7,94.3,89.6,115.4,101.4,12.9%,5.1%
GOE 531 AIRFOIL (goe531-il),4.2,7.1,7.7,9.9,13.7,13.5,67.5,66.1,100.8,86.7,13.8%,14.7%
GOE 529 AIRFOIL (goe529-il),12.9,33.6,54.8,60,81.4,81.9,114.6,109,138.6,127.3,9.7%,5.8%
GOE 528 AIRFOIL (goe528-il),9,29.8,46.6,55.7,75.5,77.6,110.5,106.7,137.7,128.9,12.5%,6.2%
GOE 527 AIRFOIL (goe527-il),4.3,15.9,36.4,47,69.5,69.4,102.3,96.2,128.8,116.9,16.5%,5.8%
GOE 526 AIRFOIL (goe526-il),24.8,33.3,52.2,52.8,73.9,69.4,98.4,91.8,119.5,107.6,12.3%,4.1%
GOE 525 AIRFOIL (goe525-il),5.3,20.5,48.8,50.9,74.3,71.5,102.1,90.6,120.6,104.4,16.5%,9.7%
GOE 523 AIRFOIL (goe523-il),5.3,20.5,48.8,50.9,74.3,71.5,102.1,90.6,120.6,104.4,16.5%,9.7%
GOE 522 AIRFOIL (goe522-il),3,9.8,32.1,37.6,57.1,51.6,73.7,63.5,89.4,70.7,21.8%,5.2%
GOE 518 AIRFOIL (goe518-il),6.5,23.7,41.4,39.1,54.1,48.3,64.5,61.8,81,79.1,18%,7.3%
GOE 517 AIRFOIL (goe517-il),37.4,40.9,55.1,60.1,75,79.1,103,102,121.7,117.7,7%,4.7%
GOE 515 AIRFOIL (goe515-il),37.6,37.9,56.8,54.9,77.2,71,103.3,88,119,95.1,8.5%,2.8%
GOE 514 AIRFOIL (goe514-il),7.2,26.1,45.3,41.9,57.2,51.5,69.2,64.7,84.1,78.1,16.6%,6.4%
GOE 513 AIRFOIL (goe513-il),10.3,28.6,44.5,43,58.9,54.6,75.4,66.1,86.6,76.8,16.6%,5.2%
GOE 512 AIRFOIL (goe512-il),19.5,31.6,48.8,47.4,64.2,60.9,83.6,74.1,95.9,88.2,13.9%,5.6%
GOE 511 AIRFOIL (goe511-il),3.7,25.2,41.4,41.7,57.6,53.2,71.8,67,87.3,80.9,16.6%,8%
GOE 510 AIRFOIL (goe510-il),8.4,29.5,48.4,48.1,65.9,61.6,84.8,82.4,106.9,99.5,13.7%,5.8%
GOE 509 AIRFOIL (goe509-il),19.8,35.3,51.6,52.2,69.3,68.8,96.7,91.1,117.2,97.2,11.1%,5.2%
GOE 508 AIRFOIL (goe508-il),5.2,13.5,40.3,43.7,71.3,69.6,105.7,97.8,132.8,115.9,16.5%,5.6%
GOE 507 AIRFOIL (goe507-il),37.6,38,55.4,53.6,73.8,67.4,95.1,82,106.1,89.2,8.7%,2.9%
GOE 506 AIRFOIL (goe506-il),10.2,28,45.1,40.7,58,48.4,64.2,61.9,81.1,75.9,16.5%,4.7%
GOE 505 AIRFOIL (goe505-il),12.3,29.8,49.1,43.1,68.7,53.8,73.5,69.2,91,87.2,14%,5.9%
GOE 504 AIRFOIL (goe504-il),3.7,13.7,34.2,43.6,66.2,62.8,91.7,85.1,114.9,104.1,18%,5.4%
GOE 503 AIRFOIL (goe503-il),4.2,15.7,32.3,46.4,68.5,67,96.4,91.4,120.3,109.8,15.6%,7%
GOE 502 AIRFOIL (goe502-il),5.4,18.7,42.1,53,76,75.1,106.7,100.4,132.2,112.7,15.9%,6.1%
GOE 501 AIRFOIL (goe501-il),9.4,29.7,56.5,60.5,85.4,80.5,113.2,106.2,137.9,113.9,12.8%,6.3%
GOE 500 AIRFOIL (goe500-il),35.6,36.3,64.4,65.6,92,91.7,131.8,120.6,159.1,120.6,10%,6%
GOE 499 AIRFOIL (goe499-il),38.8,44.9,71.2,69.6,102.2,99.1,149.4,118.3,157.8,111.9,6.8%,5.9%
GOE 497 AIRFOIL (goe497-il),28.4,34.8,58.6,60.5,85,82,118,105.3,135.2,114.2,12.7%,5.3%
GOE 498 AIRFOIL (goe498-il),7.3,24.7,49.7,53.5,75.9,73.5,105.8,91.5,123.8,102.3,15.9%,5.5%
GOE 496 AIRFOIL (goe496-il),37.4,41,62.9,65,89.6,87.3,124.3,115.1,150.2,124,10%,5%
GOE 495 AIRFOIL (goe495-il),44.8,45.2,69.2,69.3,95.8,93.9,132.8,122.7,158.9,126.9,6.9%,5%
GOE 494 AIRFOIL (goe494-il),44.5,45.5,69.5,69.6,97,95.6,135.4,121.9,164.3,112.3,5%,5.1%
GOE 493 AIRFOIL (goe493-il),24.2,24.4,51.8,51.4,75.7,72.9,105.9,95.2,127.1,98.9,14.9%,3.4%
GOE 492 AIRFOIL (goe492-il),31.1,39,57.2,57.4,81.4,78.6,112,99.4,128.6,95.5,6.2%,3.4%
GOE 491 AIRFOIL (goe491-il),34.6,37.1,48.9,50.5,62.8,62,92.3,73.2,88,86.8,4.9%,2.9%
GOE 490 AIRFOIL (goe490-il),33.2,38.3,54.3,54.1,72.5,70.1,96.2,89.6,114.1,98.5,8.8%,3.8%
GOE 488 AIRFOIL (goe488-il),37.2,37.7,55.2,51.3,74.6,64.8,96.4,79.7,101.4,89.4,6.8%,3%
GOE 484 AIRFOIL (goe484-il),45,44.4,67.3,65.4,93.3,86.4,128,93.4,136.7,92.7,6.3%,5%
GOE 483 AIRFOIL (goe483-il),42.8,44.6,62.7,65.1,83.8,85.6,114.3,112.3,137.4,121.9,5.5%,5.8%
GOE 482 AIRFOIL (goe482-il),4.9,17.3,35.8,51,71.2,73.9,107.3,100.3,137.6,121.4,16.5%,8.8%
GOE 481A AIRFOIL (goe481a-il),6.5,27.9,47.3,46.3,63.8,59,80.2,74.1,95.8,81.3,15.3%,5.5%
GOE 481 AIRFOIL (goe481-il),7,28.9,43,41.1,53.4,48.9,63.4,58.3,70.3,63.8,13.4%,8.8%
GOE 480 AIRFOIL (goe480-il),10.2,30.3,52.1,57.3,79,79.2,112.5,107.2,138.3,127.8,11.8%,5.5%
GOE 479 AIRFOIL (goe479-il),31.6,35.4,53.9,55.3,75.1,72.4,101.1,94.2,121.5,110.2,11.6%,4%
GOE 478 AIRFOIL (goe478-il),19.7,31.2,51.6,53,73.5,71,101.3,95.4,125.5,114.8,13.4%,4.3%
GOE 477 AIRFOIL (goe477-il),34.9,36.5,56.7,54.7,80.5,75,111.3,87.2,121.7,104.9,10.1%,4.9%
GOE 476 AIRFOIL (goe476-il),6.4,18.1,44.8,49.9,75.2,74.4,108.4,101.7,132.8,116.5,14.5%,5.2%
GOE 474 AIRFOIL (goe474-il),38.4,38.3,57,54.5,77.1,70.1,101.6,85.1,115.8,91,7%,2.9%
GOE 464 AIRFOIL (goe464-il),19.5,37.2,79.7,56,151.5,72.4,164.9,97,118.4,117.3,7.7%,9.9%
GOE 462 AIRFOIL (goe462-il),8.9,29.2,52.3,46.4,61.2,62.4,175.7,88.9,107.3,111.9,11%,13.4%
GOE 460 AIRFOIL (goe460-il),20.8,25.8,39.8,34.1,46.4,39.4,54.4,50.6,66.6,57.5,20.5%,0%
GOE 459 AIRFOIL (goe459-il),28.6,27.8,40.5,37.3,49.3,45.3,59,60.2,75.6,75.4,12.7%,0%
GOE 458 AIRFOIL (goe458-il),42.8,42.7,65.1,64.6,87.5,86.9,117.8,115.3,140.9,136.3,7.2%,5.2%
GOE 457 AIRFOIL (goe457-il),34.5,40.1,54.5,56.9,73.6,72.9,98.8,93.5,117,108.2,7.8%,4.2%
GOE 456 AIRFOIL (goe456-il),42.9,42.5,65.1,64.6,87.5,86.3,117.9,115.6,140.9,134.3,7.2%,5.2%
GOE 450 AIRFOIL (goe450-il),39.6,40.1,63.4,64.4,88.2,85.6,120.7,108,141.4,118.9,8.9%,5.2%
GOE 449 AIRFOIL (goe449-il),4.2,12.1,34.7,43.2,70.4,65.6,97.5,87.7,117.9,107.8,17%,5.4%
GOE 448 AIRFOIL (goe448-il),5.4,11.2,11.5,37,162,74.5,119.3,102.9,137.1,123.6,12.9%,10.5%
GOE 447 AIRFOIL (goe447-il),6.1,16,40,49.6,84,84.2,129.4,116.2,161.3,126.4,12.7%,8%
GOE 446 AIRFOIL (goe446-il),7.6,21.2,50.9,56.7,83.8,83.1,122,111.7,148.7,130.4,12.9%,6.3%
GOE 445 AIRFOIL (goe445-il),18.4,19.1,24.2,30.8,42.4,39,49.1,38,46.4,42.2,6.4%,0%
GOE 444 AIRFOIL (goe444-il),17.1,16.5,21.5,24.8,38.2,35.2,45.9,31.8,42.3,34.1,5.6%,0%
GOE 443 AIRFOIL (goe443-il),16.1,16,20.3,26.2,34,32.2,44.5,32,43.3,60.2,5%,0%
GOE 442 AIRFOIL (goe442-il),35.3,40.5,54.3,57.1,73.4,73,97.6,93,115,106.2,7.7%,4.3%
GOE 441 AIRFOIL (goe441-il),6,31,45.6,52,67,72.5,102,101.7,132.4,126.9,16%,7.7%
GOE 440 AIRFOIL (goe440-il),9.5,31.9,53.2,52.9,71.1,67.7,92.2,86.7,109.5,100.3,15.3%,9.7%
GOE 439 AIRFOIL (goe439-il),28.7,40.8,59.1,61.1,79.3,80.6,108.4,106.1,129.3,123.7,7.9%,5.2%
GOE 437 AIRFOIL (goe437-il),41.2,42.1,59.8,60.9,78.7,80,106.8,105.8,128.2,123.7,7.1%,4.8%
GOE 435 AIRFOIL (goe435-il),2.8,7.9,25.1,33.1,52.4,50.2,75.8,69.9,95.2,79.6,26.1%,4.7%
GOE 436 AIRFOIL (goe436-il),23.5,34.9,47.8,51.6,68.2,69.1,96.7,92.5,118.3,108.7,11%,3.8%
GOE 438 AIRFOIL (goe438-il),24.7,35.5,49.2,52.3,68.4,68.4,95,90.4,115.8,106,11%,3.8%
GOE 434 AIRFOIL (goe434-il),3.7,11.1,36,36.7,65.3,62.8,94.5,83.2,110.6,93.9,22.8%,5.2%
GOE 433 AIRFOIL (goe433-il),5.7,22.7,48.2,53.1,75.9,71.9,102.7,89,115.9,100.3,17.4%,4.8%
GOE 432 AIRFOIL (goe432-il),35.4,40.4,53.3,56.9,72.5,72,94.8,88.3,108,107.6,7.7%,4.3%
GOE 431 AIRFOIL (goe431-il),20.2,39.5,62.7,55.7,81,72.4,104.7,85.4,115.1,106.7,11.8%,7.2%
GOE 430 AIRFOIL (goe430-il),30.7,36.5,59.7,60.9,83.8,79.5,111.4,96.6,125.1,104.8,13.4%,4.8%
GOE 429 AIRFOIL (goe429-il),23.1,26.9,35.5,37.6,47.4,45.3,57.2,58.6,67.9,72.7,11.4%,0.2%
GOE 428 AIRFOIL (goe428-il),38.6,40.5,58.4,60.5,77.3,78.2,104.2,102.5,125,121.2,7.9%,5.2%
GOE 427 AIRFOIL (goe427-il),45.8,46.5,66.6,67.1,89,86.2,114.4,94.7,122.8,95,4.6%,5.4%
GOE 426 AIRFOIL (goe426-il),7.9,26.6,46.9,52.1,75.9,77.9,112.7,110.4,141.9,134.3,13.6%,4.6%
GOE 425 AIRFOIL (goe425-il),5.2,17.4,22.7,44.6,69.8,74,111,108.4,142.1,132.4,16%,4.5%
GOE 424 AIRFOIL (goe424-il),3.6,16.2,22.4,37.4,59,63.3,96.4,93.8,124.2,117.5,19.9%,4.8%
GOE 423 AIRFOIL (goe423-il),4.7,14.4,22.8,40.2,69.3,70.5,105.9,101.1,133.4,124.5,16.9%,5.1%
GOE 422 AIRFOIL (goe422-il),5.8,19.4,44.9,47.6,71,66.5,97.4,85.3,117.3,98.8,17.1%,6.5%
GOE 421 AIRFOIL (goe421-il),4.4,11.8,31.4,34.3,68.2,60.4,96.5,76.6,103.9,86.2,19%,8.1%
GOE 420 AIRFOIL (goe420-il),4,13.4,32.7,44.5,66.7,62.7,89.9,83.5,111.3,102.2,18.8%,4.3%
GOE 419 AIRFOIL (goe419-il),42.3,40.9,60,59,79.8,78.5,109.2,102,125,119.3,5.3%,4.1%
GOE 418 AIRFOIL (goe418-il),12.5,32.3,52.6,54,75.1,71.6,101.6,90.2,117.7,92.9,12.7%,5.1%
GOE 417A (GEW. PLATTE) AIRFOIL (goe417a-il),46.5,45.2,65.5,56.4,71.8,61.1,75.9,68.1,86.7,116.9,3.2%,5.9%
GOE 417 AIRFOIL (goe417-il),38.4,44.4,62,63.2,82.8,78.4,105.3,102.9,127.2,115.9,6%,6.1%
GOE 416A AIRFOIL (goe416a-il),31.1,34,46.5,47.3,61.4,57.7,71,67.5,80.2,75.4,11.7%,1.3%
GOE 415 AIRFOIL (goe415-il),34,37.2,52,53.6,68.9,69.6,92.2,90.9,109.8,106.8,8.5%,3.7%
GOE 413 AIRFOIL (goe413-il),7,23.9,47.3,52.3,75.3,74.5,108.3,98.6,130.8,107.6,16.4%,4.6%
GOE 414 AIRFOIL (goe414-il),8.6,28.7,52.1,54.6,74.5,73,100,97,124.9,119,13.6%,5.3%
GOE 412 AIRFOIL (goe412-il),15.9,26.8,54.7,55.8,82.9,79.5,116.5,103.2,137.7,113.7,13.1%,5.1%
GOE 411 AIRFOIL (goe411-il),30.1,28,40.7,34.1,43.7,35.6,45.8,42.9,48.7,53.4,13.2%,0%
GOE 410 AIRFOIL (goe410-il),20.9,25.2,37.1,35.3,46.4,45.2,62.4,65.1,82,81.8,16.1%,0%
GOE 409 AIRFOIL (goe409-il),28.7,26.6,38.6,32.5,40.9,37.7,46.5,50.7,64.2,70.5,12.7%,0%
GOE 408 AIRFOIL (goe408-il),35.8,40.8,58.3,59.2,78.4,75.3,101.8,94.7,119.8,102.2,7.8%,4.1%
GOE 407 AIRFOIL (goe407-il),27.9,37.5,56.2,57.7,79.4,75.2,106.5,95.6,121.6,114.1,9.5%,4.8%
GOE 405 AIRFOIL (goe405-il),9.9,29.2,54.3,58.1,82.3,80.3,115.4,104.6,137.5,126.2,11.1%,6.5%
GOE 406 AIRFOIL (goe406-il),17.8,34.1,54.1,53.1,75.6,68.1,94.8,89.3,114.2,112,11.7%,5.5%
GOE 404 AIRFOIL (goe404-il),15.2,31.6,45.2,50.8,68.8,69.7,98.8,94.2,121.6,110.7,13.2%,5%
GOE 402 AIRFOIL (goe402-il),31.5,40.4,55.1,59.9,75.7,77.9,105.7,105.4,129.2,126.2,6.8%,5.7%
GOE 403 AIRFOIL (goe403-il),42.6,41.9,59.3,57.6,75.8,73,98.6,92.9,116.1,107.9,6.7%,4.3%
GOE 401 AIRFOIL (goe401-il),32.9,38.6,53.9,56,74.1,75.4,104.3,100.8,127.7,119,7.1%,4.9%
GOE 400 AIRFOIL (goe400-il),37.4,41.9,59.1,61.4,81,79.9,109.8,88.8,126,101.4,6.1%,4.9%
GOE 399 AIRFOIL (goe399-il),40.8,41.9,59.4,60.3,79.3,76.9,104.6,98.4,124.1,112.4,6.9%,4.2%
GOE 398 AIRFOIL (goe398-il),10.6,31,50.1,51.5,71.3,68.2,96.5,92.5,120.9,112.5,13.9%,4.9%
GOE 396 AIRFOIL (goe396-il),44.8,44.9,67,66.8,89.1,92.4,121.3,111.2,141.7,99.8,4.7%,5.8%
GOE 395 AIRFOIL (goe395-il),42.4,43.1,70.4,71,102.8,100.8,149.9,117.3,157.3,124.2,6.1%,7%
GOE 397 AIRFOIL (goe397-il),42.8,43,61.4,61,81.7,79.1,110,102.1,129.9,97.6,5.1%,4%
GOE 394 AIRFOIL (goe394-il),40.4,44.5,64.4,66.6,90.5,85.9,116.6,108,139.2,112.6,6.1%,5.9%
GOE 393 AIRFOIL (goe393-il),34.7,39.4,55.9,57.3,75.4,74.8,101.3,97.5,120.4,113.4,6.1%,4.2%
GOE 392 AIRFOIL (goe392-il),37.7,38.8,59.3,58.1,78.8,77.5,105.3,102.6,125.8,120.6,10.2%,4.8%
GOE 391 AIRFOIL (goe391-il),39.6,41.5,58.8,58.4,75.8,84.3,106,84.5,104.7,86.9,5.1%,3.2%
GOE 389 AIRFOIL (goe389-il),32.7,37.6,55,56.2,75.1,73.4,101.4,94.6,119.7,108.1,10.3%,4%
GOE 390 AIRFOIL (goe390-il),3.8,11.3,26.1,40.4,62.9,58.8,85.2,78.8,105.5,98.9,20.3%,6.9%
GOE 388 AIRFOIL (goe388-il),41.4,36.9,55.8,37.6,34.7,36.2,40.2,41.6,53.5,67.2,10.2%,5.4%
GOE 386 AIRFOIL (goe386-il),3.4,16.2,33.2,40.8,61.7,59.9,88.7,76.6,103.6,94,20.3%,5.4%
GOE 387 AIRFOIL (goe387-il),6.1,22.6,43.6,50.3,71.9,69.8,101,93,122.5,114.2,14.9%,5.5%
GOE 384 AIRFOIL (goe384-il),3.9,11.7,27.3,39.5,63.4,59.1,87.1,78.4,105.1,100.5,19.6%,6.9%
GOE 385 AIRFOIL (goe385-il),29.8,37.5,51.8,56.2,73,72.2,97.4,93.9,115.9,108.5,9.9%,4.1%
GOE 383 AIRFOIL (goe383-il),3.6,13.9,25,40.5,62.2,60.4,88.4,83.1,111.7,106.1,20.2%,5%
GOE 382 AIRFOIL (goe382-il),3.5,14,25.5,39.7,60.9,59.5,87,81.9,109.6,103.9,20%,6%
GOE 381 AIRFOIL (goe381-il),37.6,43,58.9,61.5,80,76.4,100.7,92,111.9,93.1,6.4%,5.8%
GOE 379 AIRFOIL (goe379-il),39.6,41,58.2,60.3,77.7,79.1,106,103.8,126.3,121.5,6.5%,5.2%
GOE 377 AIRFOIL (goe377-il),37.9,41,57.3,58.1,77.9,73.9,101.5,91.7,115.8,105.2,6.5%,3.9%
GOE 380 AIRFOIL (goe380-il),31.1,40.9,54.4,60,75.6,78,103.4,103.2,125.8,124.1,6.6%,5.6%
GOE 375 AIRFOIL (goe375-il),32.6,37.6,46.6,52.1,62.9,67.5,88.9,91.5,109.9,108.4,6.5%,4.5%
GOE 376 AIRFOIL (goe376-il),33.8,41.5,56.4,58.7,76.2,76.5,105.2,96,121.7,97.2,6.6%,5%
GOE 372 AIRFOIL (goe372-il),43.2,42.7,62.7,60.1,82.5,77.1,108.6,93,126.5,89.6,6.2%,4.3%
GOE 374 AIRFOIL (goe374-il),32.6,40.4,51.8,57.1,72.4,74.5,98.7,97.1,117.6,110.4,6.5%,4.5%
GOE 373 AIRFOIL (goe373-il),35.5,41.9,59,61.1,80.1,79,105.9,94.8,105,93.7,6.5%,5.1%
GOE 371 AIRFOIL (goe371-il),37.6,43.3,61.1,62.1,82,80,108.6,103.9,129.8,120.9,7%,4.6%
GOE 370 AIRFOIL (goe370-il),45.2,44.8,67.2,67.5,92,92.3,128.1,121.6,154.2,119.5,4.7%,5.7%
GOE 369 AIRFOIL (goe369-il),37.9,43.6,59.2,63.9,80.2,83,105.9,94.8,121.8,112.6,5.9%,5.4%
GOE 366 AIRFOIL (goe366-il),8.1,30.9,51.7,55,82.6,73.3,102.6,97.5,128.5,121.1,13.1%,7.2%
GOE 368 AIRFOIL (goe368-il),29.3,36,49.8,50.2,64.3,63.9,83.9,83.6,98.6,98.1,7.7%,3.8%
GOE 367 AIRFOIL (goe367-il),5.3,20.8,41.2,47.7,68,64.8,93.2,83.7,111.3,98.4,16.3%,4.6%
GOE 365 AIRFOIL (goe365-il),27.6,34.1,55.8,55.1,79.1,73.4,107.2,90.6,120.7,99.1,11.7%,5.1%
GOE 363 AIRFOIL (goe363-il),32.7,37,53.3,52.3,70.1,65.3,89.5,88.2,110.5,104.8,11.1%,5.7%
GOE 364 AIRFOIL (goe364-il),13.5,34.8,52.5,57,76.4,76.6,107.8,104,133.4,124.5,10.8%,6.5%
GOE 362 AIRFOIL (goe362-il),37.3,43.4,58.4,63.3,79.6,81.9,109.4,108.1,131.4,127.7,6.6%,5.3%
GOE 360 AIRFOIL (goe360-il),20.7,36.2,51.4,56.8,73.4,76.2,105.3,104.6,131.2,127.3,9.7%,5.9%
GOE 361 AIRFOIL (goe361-il),39.3,42.4,57.8,59.8,76.6,77.5,103.8,101.3,123.4,119.5,6.8%,5.5%
GOE 359 AIRFOIL (goe359-il),35.9,41.5,61.5,63,83.4,82,110.8,103.9,130.6,103.8,7.8%,5.8%
GOE 358 AIRFOIL (goe358-il),37.5,42.2,58.5,61.8,79,79,105.7,99.2,119.2,115.3,10.9%,5.6%
GOE 344 (PFALZ 71) AIRFOIL (goe344-il),32.5,34.4,45.4,47.2,60.3,60.1,80.6,77.1,95.3,89,7.2%,2.7%
GOE 342 AIRFOIL (goe342-il),44.4,47.8,71.3,71.4,99.5,85.9,109.5,105.8,130.8,111.7,5.4%,6.2%
GOE 346 (FRIEDRICHSHAFEN-STAAKEN) AIRFOIL (goe346-il),40.3,42.8,61.3,59.5,81.2,72.8,95.5,83,100.8,91.1,5.7%,3.8%
GOE 335 (D.F.W.) AIRFOIL (goe335-il),38.6,41.1,56.6,57.9,75.4,75.4,102.1,100.1,123.5,119.1,6.9%,4.8%
GOE 332 (PFALZ 61) AIRFOIL (goe332-il),10.7,29.5,52.2,59.4,83.6,84.3,120.7,113.2,147.3,131.2,11.8%,6.4%
GOE 336 (MVA H.44) AIRFOIL (goe336-il),30.6,34.2,56.7,57.8,79.5,77.3,107.1,97.9,125.8,94.9,9%,5.4%
GOE 331 (PFALZ 60) AIRFOIL (goe331-il),22.4,37.1,58.8,57.3,79.3,71.7,97.1,94.1,119.9,117.6,10.6%,6.9%
GOE 330 (PFALZ 59) AIRFOIL (goe330-il),24.8,38.4,56.1,58.6,78.3,75.3,103.9,101.6,128.1,121.9,10.2%,5.8%
GOE 326 (PFALZ 55) AIRFOIL (goe326-il),32.5,40,56.3,59.1,77.2,77.2,104.6,100.1,123.9,116.7,8.2%,4.7%
GOE 328 AIRFOIL (goe328-il),36.1,39.6,56.9,57.1,75.2,74.8,101.6,96.9,120.7,111.3,8.2%,4.3%
GOE 329 (PFALZ 58) AIRFOIL (goe329-il),23.6,37.9,53.3,56.2,73.9,75.2,104.5,103.3,129.7,125.4,10.2%,5.5%
GOE 325 (PFALZ 54) AIRFOIL (goe325-il),35.1,37.8,53.7,55.3,72.9,73.4,100,98.3,121.4,117.2,8.2%,4.6%
GOE 324 (HANSA-BRANDENBURG) AIRFOIL (goe324-il),8.3,20,33.6,49.6,70.6,74.2,108.8,104.3,136.4,124,13.1%,5.9%
GOE 323 (HANSA-BRANDENBURG V.1) AIRFOIL (goe323-il),11.9,29.3,48.9,54.4,75.7,74.8,106.7,96.3,125.9,114.1,11.1%,5.2%
GOE 321 (HANSA-BRANDENBURG III.1) AIRFOIL (goe321-il),20.9,34.1,54.3,55.7,77.7,73.7,105.3,90.3,120.9,104.6,11.2%,5.1%
GOE 322 (HANSA-BRANDENBURG IV.1) AIRFOIL (goe322-il),9.2,28.9,49.9,53.7,75.2,73.7,104.8,95.7,123.2,114.2,13.1%,6%
GOE 320 (HANSA-BRANDENBURG II.1) AIRFOIL (goe320-il),29.3,33.6,52.3,48.4,66.1,63.1,89.2,85,109.1,98.3,12.3%,6.2%
GOE 319 (HANSA-BRANDENBURG II) AIRFOIL (goe319-il),26.1,36.7,53.3,55.2,75.2,71.6,101.6,91.1,114,112.8,10.3%,5.8%
GOE 318 (HANSA-BRANDENBURG VI.5) AIRFOIL (goe318-il),20.7,35.5,50.4,53.7,69,70,93.3,92.1,113.9,111,9.1%,4.3%
GOE 315 (HANSA-BRANDENBURG III.5) AIRFOIL (goe315-il),35.4,38,54.4,55.8,73.6,69.5,95.1,82.8,104.5,87,8.1%,4.1%
GOE 316 (HANSA-BRANDENBURG IV.5) AIRFOIL (goe316-il),23.4,34.4,50.9,52,71.2,72,100.5,98.8,123.4,118.6,9.1%,4.2%
GOE 311 (MVA H.43) AIRFOIL (goe311-il),14.3,34.5,57.5,59.5,82.4,82,114,106.4,136.2,97.8,8.4%,6.1%
GOE 310 (MVA H.42) AIRFOIL (goe310-il),37.3,38.4,59.6,58.3,80.1,73,99.9,72.4,87.1,87.4,8.1%,4.8%
GOE 309 (MVA H.41) AIRFOIL (goe309-il),34.3,37.7,54.7,55.2,73.4,71.1,97,90.6,113.8,101.2,8.4%,4.7%
GOE 303 (FRIEDRICHSHAFEN G03) AIRFOIL (goe303-il),26.2,39.5,58.3,61.6,83.2,81.9,114.6,106.4,137.3,122.1,9.8%,5.9%
